Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos
FRENTE DE TODOS;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;3;0005C;5;1;00464X;Capital;501;117;2;GANEMOS CORRIENTES;positivo;9
ECO + VAMOS CORRIENTES;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;3;0005C;5;1;00464X;Capital;502;118;3;VERDE;positivo;83
ECO + VAMOS CORRIENTES;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;3;0005C;5;1;00464X;Capital;502;118;2;VAMOS JUNTOS;positivo;31
ECO + VAMOS CORRIENTES;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;3;0005C;5;1;00464X;Capital;502;118;1;LIBERTAD + VALORES + NOSOTROS SOMOS EL CAMBIO;positivo;21
VAMOS CON VOS;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;3;0005C;5;1;00464X;Capital;503;119;2;LIBRES;positivo;10
VAMOS CON VOS;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;3;0005C;5;1;00464X;Capital;503;119;1;ENCUENTRO SOCIAL AMPLIO;positivo;3
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;2;0005C;5;1;00465X;Capital;;;;;nulos;8
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;2;0005C;5;1;00465X;Capital;;;;;recurridos;0
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;2;0005C;5;1;00465X;Capital;;;;;comando;0
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;2;0005C;5;1;00465X;Capital;;;;;blancos;2
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;2;0005C;5;1;00465X;Capital;;;;;impugnados;0
COMPROMISO FEDERAL;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;2;0005C;5;1;00465X;Capital;82;116;1;ACCION CORRENTINA;positivo;0
FRENTE DE TODOS;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;2;0005C;5;1;00465X;Capital;501;117;1;CELESTE Y BLANCA;positivo;65
FRENTE DE TODOS;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;2;0005C;5;1;00465X;Capital;501;117;2;GANEMOS CORRIENTES;positivo;8
ECO + VAMOS CORRIENTES;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;2;0005C;5;1;00465X;Capital;502;118;3;VERDE;positivo;121
ECO + VAMOS CORRIENTES;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;2;0005C;5;1;00465X;Capital;502;118;1;LIBERTAD + VALORES + NOSOTROS SOMOS EL CAMBIO;positivo;19
VAMOS CON VOS;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;2;0005C;5;1;00465X;Capital;503;119;2;LIBRES;positivo;12
VAMOS CON VOS;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;2;0005C;5;1;00465X;Capital;503;119;1;ENCUENTRO SOCIAL AMPLIO;positivo;2
;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;3;0005C;5;1;00465X;Capital;;;;;nulos;8
;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;3;0005C;5;1;00465X;Capital;;;;;recurridos;0
;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;3;0005C;5;1;00465X;Capital;;;;;comando;0
;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;3;0005C;5;1;00465X;Capital;;;;;blancos;2
;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;3;0005C;5;1;00465X;Capital;;;;;impugnados;0
COMPROMISO FEDERAL;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;3;0005C;5;1;00465X;Capital;82;116;1;ACCION CORRENTINA;positivo;1
FRENTE DE TODOS;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;3;0005C;5;1;00465X;Capital;501;117;1;CELESTE Y BLANCA;positivo;64
FRENTE DE TODOS;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;3;0005C;5;1;00465X;Capital;501;117;2;GANEMOS CORRIENTES;positivo;11
ECO + VAMOS CORRIENTES;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;3;0005C;5;1;00465X;Capital;502;118;3;VERDE;positivo;101
ECO + VAMOS CORRIENTES;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;3;0005C;5;1;00465X;Capital;502;118;2;VAMOS JUNTOS;positivo;18
ECO + VAMOS CORRIENTES;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;3;0005C;5;1;00465X;Capital;502;118;1;LIBERTAD + VALORES + NOSOTROS SOMOS EL CAMBIO;positivo;19
VAMOS CON VOS;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;3;0005C;5;1;00465X;Capital;503;119;2;LIBRES;positivo;12
VAMOS CON VOS;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;3;0005C;5;1;00465X;Capital;503;119;1;ENCUENTRO SOCIAL AMPLIO;positivo;2
;SENADORES NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:16;2;0005C;5;1;00466X;Capital;;;;;nulos;9
;SENADORES NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:16;2;0005C;5;1;00466X;Capital;;;;;recurridos;0
;SENADORES NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:16;2;0005C;5;1;00466X;Capital;;;;;comando;0
;SENADORES NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:16;2;0005C;5;1;00466X;Capital;;;;;blancos;5
;SENADORES NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:16;2;0005C;5;1;00466X;Capital;;;;;impugnados;0
COMPROMISO FEDERAL;SENADORES NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:16;2;0005C;5;1;00466X;Capital;82;116;1;ACCION CORRENTINA;positivo;1
FRENTE DE TODOS;SENADORES NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:16;2;0005C;5;1;00466X;Capital;501;117;1;CELESTE Y BLANCA;positivo;78
FRENTE DE TODOS;SENADORES NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:16;2;0005C;5;1;00466X;Capital;501;117;2;GANEMOS CORRIENTES;positivo;11
ECO + VAMOS CORRIENTES;SENADORES NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:16;2;0005C;5;1;00466X;Capital;502;118;3;VERDE;positivo;115
ECO + VAMOS CORRIENTES;SENADORES NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:16;2;0005C;5;1;00466X;Capital;502;118;1;LIBERTAD + VALORES + NOSOTROS SOMOS EL CAMBIO;positivo;11
VAMOS CON VOS;SENADORES NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:16;2;0005C;5;1;00466X;Capital;503;119;2;LIBRES;positivo;8
VAMOS CON VOS;SENADORES NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:16;2;0005C;5;1;00466X;Capital;503;119;1;ENCUENTRO SOCIAL AMPLIO;positivo;5
;DIPUTADOS NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:16;3;0005C;5;1;00466X;Capital;;;;;nulos;9
;DIPUTADOS NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:16;3;0005C;5;1;00466X;Capital;;;;;recurridos;0
;DIPUTADOS NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:16;3;0005C;5;1;00466X;Capital;;;;;comando;0
;DIPUTADOS NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:16;3;0005C;5;1;00466X;Capital;;;;;blancos;5
;DIPUTADOS NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:16;3;0005C;5;1;00466X;Capital;;;;;impugnados;0
COMPROMISO FEDERAL;DIPUTADOS NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:16;3;0005C;5;1;00466X;Capital;82;116;1;ACCION CORRENTINA;positivo;1
FRENTE DE TODOS;DIPUTADOS NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:16;3;0005C;5;1;00466X;Capital;501;117;1;CELESTE Y BLANCA;positivo;76
FRENTE DE TODOS;DIPUTADOS NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:16;3;0005C;5;1;00466X;Capital;501;117;2;GANEMOS CORRIENTES;positivo;11
